GeneName,GN_Syn
MIR4251,MIR4251
AL008733.1,AL008733.1
AL512383.1,AL512383.1
AL590438.1,AL590438.1
ARHGEF16,ARHGEF16
AL512413.1,AL512413.1
MEGF6,MEGF6
MIR551A,MIR551A
AL513320.1,AL513320.1
TPRG1L,TPRG1L
WRAP73,WRAP73
TP73,TP73
AL136528.1,AL136528.1
AL136528.2,AL136528.2
TP73-AS1,TP73-AS1
RF02197,RF02197
CCDC27,CCDC27
SMIM1,SMIM1
LRRC47,LRRC47
RN7SL574P,RN7SL574P
AL365330.1,AL365330.1
CEP104,CEP104
DFFB,DFFB
C1orf174,C1orf174
LINC01134,LINC01134
LINC01346,LINC01346
LINC01345,LINC01345
AL805961.1,AL805961.1
AL805961.2,AL805961.2
EEF1DP6,EEF1DP6
LINC01777,LINC01777
AL355602.1,AL355602.1
Z98747.1,Z98747.1
LINC01646,LINC01646
AJAP1,AJAP1
BX005132.2,BX005132.2
BX005132.1,BX005132.1
AL691497.1,AL691497.1
AL139823.1,AL139823.1
Z98259.3,Z98259.3
Z98259.2,Z98259.2
Z98259.1,Z98259.1
Z97988.1,Z97988.1
AL365255.1,AL365255.1
MIR4417,MIR4417
MIR4689,MIR4689
NPHP4,NPHP4
KCNAB2,KCNAB2
CHD5,CHD5
AL031847.2,AL031847.2
RPL22,RPL22
AL031847.1,AL031847.1
RNF207,RNF207
ICMT,ICMT
LINC00337,LINC00337
HES3,HES3
GPR153,GPR153
ACOT7,ACOT7
AL031848.2,AL031848.2
HES2,HES2
ESPN,ESPN
MIR4252,MIR4252
AL031848.1,AL031848.1
TNFRSF25,TNFRSF25
PLEKHG5,PLEKHG5
NOL9,NOL9
RNU6-731P,RNU6-731P
AL591866.1,AL591866.1
TAS1R1,TAS1R1
ZBTB48,ZBTB48
KLHL21,KLHL21
PHF13,PHF13
THAP3,THAP3
DNAJC11,DNAJC11
LINC01672,LINC01672
AL591163.1,AL591163.1
CAMTA1-DT,CAMTA1-DT
CAMTA1,CAMTA1
AL590128.1,AL590128.1
AL512330.1,AL512330.1
RNU1-8P,RNU1-8P
CAMTA1-IT1,CAMTA1-IT1
Z97987.1,Z97987.1
AL365194.1,AL365194.1
AL359881.3,AL359881.3
AL359881.2,AL359881.2
AL359881.1,AL359881.1
VAMP3,VAMP3
Z98884.2,Z98884.2
PER3,PER3
Z98884.1,Z98884.1
UTS2,UTS2
TNFRSF9,TNFRSF9
AL009183.1,AL009183.1
PARK7,PARK7
RF00019,RF00019
AL034417.4,AL034417.4
AL034417.3,AL034417.3
ERRFI1,ERRFI1
AL034417.2,AL034417.2
AL034417.1,AL034417.1
AL358876.1,AL358876.1
LINC01714,LINC01714
RNU1-7P,RNU1-7P
AL358876.2,AL358876.2
RNU6-991P,RNU6-991P
SLC45A1,SLC45A1
RF00019,RF00019
RERE,RERE
AL096855.1,AL096855.1
RF00599,RF00599
AL096855.2,AL096855.2
RPL7P11,RPL7P11
RPL7P7,RPL7P7
RF00019,RF00019
AL357552.1,AL357552.1
AL357552.2,AL357552.2
RPL23AP19,RPL23AP19
ENO1,ENO1
MIR6728,MIR6728
ENO1-AS1,ENO1-AS1
RNU6-304P,RNU6-304P
HMGN2P17,HMGN2P17
AL139415.1,AL139415.1
AL139415.2,AL139415.2
CA6,CA6
RN7SL451P,RN7SL451P
SLC2A7,SLC2A7
SLC2A5,SLC2A5
RF00424,RF00424
GPR157,GPR157
MIR34AHG,MIR34AHG
MIR34A,MIR34A
LNCTAM34A,LNCTAM34A
H6PD,H6PD
SPSB1,SPSB1
BX323043.1,BX323043.1
AL928921.2,AL928921.2
RNA5SP40,RNA5SP40
AL928921.1,AL928921.1
SLC25A33,SLC25A33
AL954705.1,AL954705.1
TMEM201,TMEM201
PIK3CD,PIK3CD
PIK3CD-AS1,PIK3CD-AS1
AL691449.1,AL691449.1
PIK3CD-AS2,PIK3CD-AS2
CLSTN1,CLSTN1
MZT1P1,MZT1P1
AL357140.3,AL357140.3
CTNNBIP1,CTNNBIP1
AL357140.1,AL357140.1
AL357140.5,AL357140.5
LZIC,LZIC
AL357140.2,AL357140.2
NMNAT1,NMNAT1
RN7SKP269,RN7SKP269
AL357140.4,AL357140.4
MIR5697,MIR5697
AL603962.1,AL603962.1
RBP7,RBP7
UBE4B,UBE4B
AL590639.1,AL590639.1
PGAM1P11,PGAM1P11
RNU6-828P,RNU6-828P
KIF1B,KIF1B
MIR1273D,MIR1273D
RNU6-37P,RNU6-37P
RN7SL731P,RN7SL731P
AL139424.3,AL139424.3
AL139424.2,AL139424.2
PGD,PGD
AL139424.1,AL139424.1
CENPS-CORT,CENPS-CORT
CENPS,CENPS
CORT,CORT
DFFA,DFFA
AL354956.1,AL354956.1
PEX14,PEX14
RN7SL614P,RN7SL614P
CASZ1,CASZ1
AL139423.1,AL139423.1
HSPE1P24,HSPE1P24
C1orf127,C1orf127
CFL1P6,CFL1P6
TARDBP,TARDBP
AL109811.4,AL109811.4
MASP2,MASP2
AL109811.3,AL109811.3
SRM,SRM
EXOSC10,EXOSC10
AL109811.1,AL109811.1
AL109811.2,AL109811.2
MTOR,MTOR
MTOR-AS1,MTOR-AS1
RNU6-537P,RNU6-537P
ANGPTL7,ANGPTL7
RNU6-291P,RNU6-291P
RPL39P6,RPL39P6
UBIAD1,UBIAD1
UBE2V2P3,UBE2V2P3
AL031291.1,AL031291.1
MTCYBP45,MTCYBP45
DISP3,DISP3
AL590989.1,AL590989.1
LINC01647,LINC01647
AL031731.1,AL031731.1
FBXO2,FBXO2
FBXO44,FBXO44
FBXO6,FBXO6
MAD2L2,MAD2L2
DRAXIN,DRAXIN
AGTRAP,AGTRAP
C1orf167,C1orf167
AL953897.1,AL953897.1
MTHFR,MTHFR
CLCN6,CLCN6
RF02156,RF02156
RF02157,RF02157
NPPA,NPPA
RF02158,RF02158
NPPB,NPPB
AL021155.1,AL021155.1
AL021155.2,AL021155.2
RNU5E-1,RNU5E-1
RNU5E-4P,RNU5E-4P
KIAA2013,KIAA2013
PLOD1,PLOD1
MFN2,MFN2
AL096840.1,AL096840.1
MIIP,MIIP
RF00019,RF00019
MIR6729,MIR6729
RN7SL649P,RN7SL649P
TNFRSF8,TNFRSF8
RNU6-777P,RNU6-777P
RPL23AP89,RPL23AP89
AL357835.1,AL357835.1
MIR7846,MIR7846
TNFRSF1B,TNFRSF1B
MIR4632,MIR4632
RPL10P17,RPL10P17
RF00156,RF00156
VPS13D,VPS13D
SNORA59A,SNORA59A
AC243836.1,AC243836.1
