GeneName,GN_Syn
AC022201.1,AC022201.1
TGFA,TGFA
TGFA-IT1,TGFA-IT1
ADD2,ADD2
AC005234.1,AC005234.1
FIGLA,FIGLA
HMGN2P21,HMGN2P21
CLEC4F,CLEC4F
AC007395.1,AC007395.1
CD207,CD207
LINC01143,LINC01143
RF02272,RF02272
VAX2,VAX2
ATP6V1B1,ATP6V1B1
AC007040.2,AC007040.2
ATP6V1B1-AS1,ATP6V1B1-AS1
ELOCP21,ELOCP21
RN7SL160P,RN7SL160P
ANKRD53,ANKRD53
TEX261,TEX261
AC007040.1,AC007040.1
AC007881.2,AC007881.2
OR7E91P,OR7E91P
OR7E46P,OR7E46P
OR7E62P,OR7E62P
NAGK,NAGK
AC007881.3,AC007881.3
MCEE,MCEE
MPHOSPH10,MPHOSPH10
AC007881.1,AC007881.1
PAIP2B,PAIP2B
ZNF638,ZNF638
AC007878.1,AC007878.1
RNU6-105P,RNU6-105P
DYSF,DYSF
RPS20P10,RPS20P10
CYP26B1,CYP26B1
EXOC6B,EXOC6B
AC006461.1,AC006461.1
RNU2-39P,RNU2-39P
RF00592,RF00592
SPR,SPR
EMX1,EMX1
AC012366.1,AC012366.1
SFXN5,SFXN5
RAB11FIP5,RAB11FIP5
AC010913.1,AC010913.1
NOTO,NOTO
SMYD5,SMYD5
PRADC1,PRADC1
CCT7,CCT7
FBXO41,FBXO41
EGR4,EGR4
RNU6-111P,RNU6-111P
AC074008.2,AC074008.2
RPSAP28,RPSAP28
ALMS1,ALMS1
ALMS1-IT1,ALMS1-IT1
AC074008.1,AC074008.1
NAT8,NAT8
ALMS1P1,ALMS1P1
NAT8B,NAT8B
TPRKB,TPRKB
AC092653.1,AC092653.1
AC092653.2,AC092653.2
DUSP11,DUSP11
C2orf78,C2orf78
STAMBP,STAMBP
AC073046.2,AC073046.2
ACTG2,ACTG2
DGUOK,DGUOK
DGUOK-AS1,DGUOK-AS1
RNA5SP97,RNA5SP97
AC073046.1,AC073046.1
TET3,TET3
AC110801.1,AC110801.1
FNBP1P1,FNBP1P1
AC073263.1,AC073263.1
BOLA3,BOLA3
BOLA3-AS1,BOLA3-AS1
MOB1A,MOB1A
AC073263.3,AC073263.3
AC073263.2,AC073263.2
MTHFD2,MTHFD2
AC006030.1,AC006030.1
SLC4A5,SLC4A5
KRT18P26,KRT18P26
RNU6-542P,RNU6-542P
NECAP1P2,NECAP1P2
TAF13P2,TAF13P2
DCTN1,DCTN1
DCTN1-AS1,DCTN1-AS1
AC005041.1,AC005041.1
AC005041.2,AC005041.2
C2orf81,C2orf81
HMGA1P8,HMGA1P8
WDR54,WDR54
RTKN,RTKN
INO80B,INO80B
INO80B-WBP1,INO80B-WBP1
WBP1,WBP1
MOGS,MOGS
MRPL53,MRPL53
CCDC142,CCDC142
TTC31,TTC31
LBX2,LBX2
AC005041.3,AC005041.3
LBX2-AS1,LBX2-AS1
PCGF1,PCGF1
TLX2,TLX2
DQX1,DQX1
AUP1,AUP1
HTRA2,HTRA2
LOXL3,LOXL3
DOK1,DOK1
M1AP,M1AP
AC005033.1,AC005033.1
TVP23BP2,TVP23BP2
SEMA4F,SEMA4F
AC007387.1,AC007387.1
AC019069.1,AC019069.1
HK2,HK2
LINC01291,LINC01291
AC104135.1,AC104135.1
LINC01293,LINC01293
POLE4,POLE4
TACR1,TACR1
MIR5000,MIR5000
AC007681.1,AC007681.1
GAPDHP57,GAPDHP57
EVA1A,EVA1A
AC007099.2,AC007099.2
RF01233,RF01233
AC007099.1,AC007099.1
AC005034.1,AC005034.1
RF00012,RF00012
MRPL19,MRPL19
SUPT4H1P1,SUPT4H1P1
GCFC2,GCFC2
AC005034.3,AC005034.3
AC005034.5,AC005034.5
AC005034.2,AC005034.2
AC005034.4,AC005034.4
SUCLA2P2,SUCLA2P2
AC073091.1,AC073091.1
AC073091.2,AC073091.2
RN7SKP203,RN7SKP203
RN7SKP164,RN7SKP164
LRRTM4,LRRTM4
RNA5SP98,RNA5SP98
AC079117.1,AC079117.1
AC084149.1,AC084149.1
AC084149.2,AC084149.2
AC105399.1,AC105399.1
LINC01851,LINC01851
AC012494.1,AC012494.1
CYCSP6,CYCSP6
AC064872.1,AC064872.1
AC092660.1,AC092660.1
RNU6-827P,RNU6-827P
RNU6-812P,RNU6-812P
REG3G,REG3G
REG1B,REG1B
REG1A,REG1A
REG1CP,REG1CP
REG3A,REG3A
AC011754.1,AC011754.1
CTNNA2,CTNNA2
AC010975.1,AC010975.1
AC010975.3,AC010975.3
AC010975.2,AC010975.2
RNU6-561P,RNU6-561P
MIR4264,MIR4264
MIR8080,MIR8080
AC016716.2,AC016716.2
AC016716.1,AC016716.1
LRRTM1,LRRTM1
AC008067.1,AC008067.1
AC012355.1,AC012355.1
AC105342.1,AC105342.1
AC012075.1,AC012075.1
LINC01815,LINC01815
RNA5SP99,RNA5SP99
AC013262.1,AC013262.1
RN7SL201P,RN7SL201P
AC079896.1,AC079896.1
LYARP1,LYARP1
RNU6-685P,RNU6-685P
RF00019,RF00019
AC010105.1,AC010105.1
AC109638.1,AC109638.1
MTND4P25,MTND4P25
MTND5P27,MTND5P27
MTND6P7,MTND6P7
MTCYBP7,MTCYBP7
DHFRP3,DHFRP3
AC138623.1,AC138623.1
LINC01809,LINC01809
RPL37P10,RPL37P10
RNU6-1312P,RNU6-1312P
AC016908.1,AC016908.1
ST6GALNAC2P1,ST6GALNAC2P1
FUNDC2P2,FUNDC2P2
AC106874.1,AC106874.1
SUCLG1,SUCLG1
DNAH6,DNAH6
DUXAP1,DUXAP1
LDHAP7,LDHAP7
TRABD2A,TRABD2A
AC010087.1,AC010087.1
RPL12P18,RPL12P18
TMSB10,TMSB10
AC022210.1,AC022210.1
KCMF1,KCMF1
LINC01964,LINC01964
AC078974.1,AC078974.1
LSM3P3,LSM3P3
TCF7L1,TCF7L1
TCF7L1-IT1,TCF7L1-IT1
RNU6-674P,RNU6-674P
AC093162.1,AC093162.1
AC093162.2,AC093162.2
TGOLN2,TGOLN2
RF00019,RF00019
PEBP1P2,PEBP1P2
RETSAT,RETSAT
ELMOD3,ELMOD3
AC062037.1,AC062037.1
RF00019,RF00019
RN7SL113P,RN7SL113P
AC062037.2,AC062037.2
CAPG,CAPG
SH2D6,SH2D6
RF00019,RF00019
RN7SL251P,RN7SL251P
RF00019,RF00019
RPSAP22,RPSAP22
MAT2A,MAT2A
GGCX,GGCX
VAMP8,VAMP8
RN7SL126P,RN7SL126P
VAMP5,VAMP5
RNF181,RNF181
TMEM150A,TMEM150A
USP39,USP39
C2orf68,C2orf68
SFTPB,SFTPB
GNLY,GNLY
AC012454.1,AC012454.1
RNU1-38P,RNU1-38P
ATOH8,ATOH8
MIR6071,MIR6071
AC105053.1,AC105053.1
RN7SKP83,RN7SKP83
ST3GAL5,ST3GAL5
ST3GAL5-AS1,ST3GAL5-AS1
AC012511.1,AC012511.1
POLR1A,POLR1A
PTCD3,PTCD3
SNORD94,SNORD94
IMMT,IMMT
RF00019,RF00019
MIR4779,MIR4779
AC009309.1,AC009309.1
MRPL35,MRPL35
REEP1,REEP1
RF00096,RF00096
RF00413,RF00413
KDM3A,KDM3A
CHMP3,CHMP3
RNF103-CHMP3,RNF103-CHMP3
RNU6-640P,RNU6-640P
AC015971.1,AC015971.1
RNF103,RNF103
RMND5A,RMND5A
CD8A,CD8A
CD8B,CD8B
ANAPC1P1,ANAPC1P1
AC111200.1,AC111200.1
RGPD1,RGPD1
AC111200.2,AC111200.2
NDUFB4P5,NDUFB4P5
PLGLB1,PLGLB1
AC125232.2,AC125232.2
AC125232.1,AC125232.1
AC092651.2,AC092651.2
AC092651.1,AC092651.1
AC083899.1,AC083899.1
MIR4771-1,MIR4771-1
AC083899.2,AC083899.2
LINC01955,LINC01955
AC083899.3,AC083899.3
IGKV3OR2-268,IGKV3OR2-268
AC068279.1,AC068279.1
LINC01943,LINC01943
CYTOR,CYTOR
AC133644.3,AC133644.3
AC133644.2,AC133644.2
AC133644.1,AC133644.1
MIR4435-1,MIR4435-1
AC133965.1,AC133965.1
AC093616.1,AC093616.1
PLGLB2,PLGLB2
RGPD2,RGPD2
MTATP8P2,MTATP8P2
NDUFB4P7,NDUFB4P7
AC108479.1,AC108479.1
AC108479.2,AC108479.2
RNU2-63P,RNU2-63P
KRCC1,KRCC1
SMYD1,SMYD1
MIR4780,MIR4780
FABP1,FABP1
THNSL2,THNSL2
MRPL45P1,MRPL45P1
RF00026,RF00026
RNU6-1168P,RNU6-1168P
RNU6-1007P,RNU6-1007P
AC012671.1,AC012671.1
FOXI3,FOXI3
TEX37,TEX37
AC104134.1,AC104134.1
EIF2AK3,EIF2AK3
AC062029.1,AC062029.1
RPIA,RPIA
ANKRD36BP2,ANKRD36BP2
AC244205.2,AC244205.2
AC244205.1,AC244205.1
MIR4436A,MIR4436A
IGKC,IGKC
IGKJ5,IGKJ5
IGKJ4,IGKJ4
IGKJ3,IGKJ3
IGKJ2,IGKJ2
IGKJ1,IGKJ1
IGKV4-1,IGKV4-1
IGKV5-2,IGKV5-2
IGKV7-3,IGKV7-3
PGBD4P5,PGBD4P5
IGKV2-4,IGKV2-4
IGKV1-5,IGKV1-5
IGKV1-6,IGKV1-6
IGKV3-7,IGKV3-7
IGKV1-8,IGKV1-8
IGKV1-9,IGKV1-9
IGKV2-10,IGKV2-10
IGKV3-11,IGKV3-11
IGKV1-12,IGKV1-12
IGKV1-13,IGKV1-13
IGKV2-14,IGKV2-14
IGKV3-15,IGKV3-15
IGKV1-16,IGKV1-16
IGKV1-17,IGKV1-17
IGKV2-18,IGKV2-18
IGKV2-19,IGKV2-19
IGKV3-20,IGKV3-20
IGKV6-21,IGKV6-21
IGKV1-22,IGKV1-22
IGKV2-23,IGKV2-23
IGKV2-24,IGKV2-24
IGKV3-25,IGKV3-25
IGKV2-26,IGKV2-26
AC244255.1,AC244255.1
IGKV1-27,IGKV1-27
IGKV2-28,IGKV2-28
IGKV2-29,IGKV2-29
IGKV2-30,IGKV2-30
IGKV3-31,IGKV3-31
IGKV1-32,IGKV1-32
IGKV1-33,IGKV1-33
IGKV3-34,IGKV3-34
IGKV1-35,IGKV1-35
IGKV2-36,IGKV2-36
IGKV1-37,IGKV1-37
IGKV2-38,IGKV2-38
IGKV1-39,IGKV1-39
IGKV2-40,IGKV2-40
AC006453.4,AC006453.4
AC006453.2,AC006453.2
RF00001,RF00001
AC006453.1,AC006453.1
AC006453.3,AC006453.3
AC006453.5,AC006453.5
IGKV2D-40,IGKV2D-40
IGKV1D-39,IGKV1D-39
IGKV2D-38,IGKV2D-38
IGKV1D-37,IGKV1D-37
IGKV2D-36,IGKV2D-36
IGKV1D-35,IGKV1D-35
IGKV3D-34,IGKV3D-34
IGKV1D-33,IGKV1D-33
IGKV1D-32,IGKV1D-32
IGKV3D-31,IGKV3D-31
IGKV2D-30,IGKV2D-30
IGKV2D-29,IGKV2D-29
IGKV2D-28,IGKV2D-28
IGKV1D-27,IGKV1D-27
IGKV2D-26,IGKV2D-26
IGKV3D-25,IGKV3D-25
IGKV2D-24,IGKV2D-24
IGKV2D-23,IGKV2D-23
IGKV1D-22,IGKV1D-22
IGKV6D-21,IGKV6D-21
IGKV3D-20,IGKV3D-20
IGKV2D-19,IGKV2D-19
IGKV2D-18,IGKV2D-18
IGKV6D-41,IGKV6D-41
IGKV1D-17,IGKV1D-17
IGKV1D-16,IGKV1D-16
IGKV3D-15,IGKV3D-15
IGKV2D-14,IGKV2D-14
IGKV1D-13,IGKV1D-13
IGKV1D-12,IGKV1D-12
IGKV3D-11,IGKV3D-11
IGKV2D-10,IGKV2D-10
IGKV1D-42,IGKV1D-42
IGKV1D-43,IGKV1D-43
IGKV1D-8,IGKV1D-8
IGKV3D-7,IGKV3D-7
AC233263.2,AC233263.2
IGKV1OR2-118,IGKV1OR2-118
AC233263.1,AC233263.1
AC233263.6,AC233263.6
AC233266.1,AC233266.1
AC233266.2,AC233266.2
AC116050.1,AC116050.1
LSP1P4,LSP1P4
RNA5SP100,RNA5SP100
DRD5P1,DRD5P1
AC027612.2,AC027612.2
AC027612.4,AC027612.4
AC027612.1,AC027612.1
AC027612.3,AC027612.3
GGT8P,GGT8P
IGKV1OR2-1,IGKV1OR2-1
ABCD1P5,ABCD1P5
AC127391.1,AC127391.1
PABPC1P6,PABPC1P6
SLC9B1P2,SLC9B1P2
ACTR3BP2,ACTR3BP2
CHEK2P3,CHEK2P3
AC128677.1,AC128677.1
IGKV1OR2-2,IGKV1OR2-2
AL845331.3,AL845331.3
AL845331.2,AL845331.2
CNN2P11,CNN2P11
AL845331.1,AL845331.1
CNN2P8,CNN2P8
AC073464.2,AC073464.2
CYP4F32P,CYP4F32P
AC073464.1,AC073464.1
SNX18P14,SNX18P14
ANKRD20A8P,ANKRD20A8P
RNU6-1320P,RNU6-1320P
AC097374.2,AC097374.2
AC097374.1,AC097374.1
TEKT4,TEKT4
MTCO1P48,MTCO1P48
MTCO3P45,MTCO3P45
RPS24P6,RPS24P6
AC103563.3,AC103563.3
AC103563.4,AC103563.4
AC103563.5,AC103563.5
AC103563.1,AC103563.1
AC103563.6,AC103563.6
AC103563.8,AC103563.8
RN7SL575P,RN7SL575P
AC103563.7,AC103563.7
MAL,MAL
AC103563.2,AC103563.2
MRPS5,MRPS5
ZNF514,ZNF514
ZNF2,ZNF2
SLC2AXP1,SLC2AXP1
AC092835.1,AC092835.1
PROM2,PROM2
KCNIP3,KCNIP3
FABP7P2,FABP7P2
FAHD2A,FAHD2A
AC009238.3,AC009238.3
AC009238.2,AC009238.2
AC009238.1,AC009238.1
UBTFL5,UBTFL5
AC133104.2,AC133104.2
AC133104.1,AC133104.1
TRIM43B,TRIM43B
AC009237.11,AC009237.11
AC009237.1,AC009237.1
AC009237.10,AC009237.10
AC009237.2,AC009237.2
TRIM64FP,TRIM64FP
AC009237.14,AC009237.14
AC009237.3,AC009237.3
AC009237.8,AC009237.8
AC009237.15,AC009237.15
AC009237.5,AC009237.5
OR7E102P,OR7E102P
TRIM51JP,TRIM51JP
AC009237.16,AC009237.16
AC009237.4,AC009237.4
TRIM43,TRIM43
AC009237.7,AC009237.7
AC009237.13,AC009237.13
AC009237.12,AC009237.12
UBTFL3,UBTFL3
AC009237.17,AC009237.17
AC009237.6,AC009237.6
AC009237.9,AC009237.9
AC008268.1,AC008268.1
GPAT2P1,GPAT2P1
LINC00342,LINC00342
ANKRD36C,ANKRD36C
RN7SL210P,RN7SL210P
FAHD2CP,FAHD2CP
GPAT2,GPAT2
ADRA2B,ADRA2B
ASTL,ASTL
DUSP2,DUSP2
AC012307.1,AC012307.1
STARD7,STARD7
STARD7-AS1,STARD7-AS1
TMEM127,TMEM127
CIAO1,CIAO1
SNRNP200,SNRNP200
AC021188.1,AC021188.1
ITPRIPL1,ITPRIPL1
NCAPH,NCAPH
NEURL3,NEURL3
AC013270.1,AC013270.1
ARID5A,ARID5A
KANSL3,KANSL3
FER1L5,FER1L5
LMAN2L,LMAN2L
CNNM4,CNNM4
MIR3127,MIR3127
CNNM3-DT,CNNM3-DT
CNNM3,CNNM3
ANKRD23,ANKRD23
ANKRD39,ANKRD39
SEMA4C,SEMA4C
FAM178B,FAM178B
RF00017,RF00017
RNA5SP101,RNA5SP101
AC079395.3,AC079395.3
AC079395.2,AC079395.2
AC079395.1,AC079395.1
TRIM43CP,TRIM43CP
AC018892.1,AC018892.1
AC018892.2,AC018892.2
IGKV2OR2-1,IGKV2OR2-1
IGKV2OR2-2,IGKV2OR2-2
IGKV1OR2-3,IGKV1OR2-3
GPAT2P2,GPAT2P2
FAHD2B,FAHD2B
AC018892.3,AC018892.3
RN7SL313P,RN7SL313P
ANKRD36,ANKRD36
AC159540.2,AC159540.2
AC159540.1,AC159540.1
IGKV1OR2-9,IGKV1OR2-9
IGKV2OR2-10,IGKV2OR2-10
IGKV2OR2-7D,IGKV2OR2-7D
IGKV3OR2-5,IGKV3OR2-5
IGKV1OR2-6,IGKV1OR2-6
IGKV2OR2-7,IGKV2OR2-7
IGKV2OR2-8,IGKV2OR2-8
IGKV1OR2-11,IGKV1OR2-11
AC092683.1,AC092683.1
AC092683.2,AC092683.2
ANKRD36B,ANKRD36B
AC017099.1,AC017099.1
UBTFL6,UBTFL6
COX5B,COX5B
ACTR1B,ACTR1B
C2orf92,C2orf92
RNU4-8P,RNU4-8P
ZAP70,ZAP70
TMEM131,TMEM131
HMGN1P36,HMGN1P36
RNU7-96P,RNU7-96P
VWA3B,VWA3B
ATP5F1BP1,ATP5F1BP1
AC092675.1,AC092675.1
CNGA3,CNGA3
AC092675.2,AC092675.2
INPP4A,INPP4A
COA5,COA5
UNC50,UNC50
MGAT4A,MGAT4A
YWHAQP5,YWHAQP5
AC109826.1,AC109826.1
RNU4-84P,RNU4-84P
KIAA1211L,KIAA1211L
RNU7-46P,RNU7-46P
TSGA10,TSGA10
AC019097.1,AC019097.1
C2orf15,C2orf15
AC079447.1,AC079447.1
LIPT1,LIPT1
AC092587.1,AC092587.1
MITD1,MITD1
MRPL30,MRPL30
LYG2,LYG2
LYG1,LYG1
TXNDC9,TXNDC9
EIF5B,EIF5B
REV1,REV1
AC018690.1,AC018690.1
AFF3,AFF3
AC092667.1,AC092667.1
LINC01104,LINC01104
LONRF2,LONRF2
AC012493.2,AC012493.2
AC012493.3,AC012493.3
CHST10,CHST10
AC012493.1,AC012493.1
NMS,NMS
AC068538.1,AC068538.1
PDCL3,PDCL3
HMGN2P22,HMGN2P22
LINC01849,LINC01849
NANOGNBP1,NANOGNBP1
LINC01868,LINC01868
AC092168.1,AC092168.1
NPAS2,NPAS2
AC092168.2,AC092168.2
AC016738.2,AC016738.2
AC016738.1,AC016738.1
RPL31,RPL31
TBC1D8,TBC1D8
BBIP1P1,BBIP1P1
TBC1D8-AS1,TBC1D8-AS1
CNOT11,CNOT11
RNF149,RNF149
SNORD89,SNORD89
MIR5696,MIR5696
CREG2,CREG2
AC092570.1,AC092570.1
RFX8,RFX8
LINC01870,LINC01870
AC092570.3,AC092570.3
AC092570.2,AC092570.2
MAP4K4,MAP4K4
LINC01127,LINC01127
IL1R2,IL1R2
IL1R1,IL1R1
IL1R1-AS1,IL1R1-AS1
IL1RL2,IL1RL2
FAM183DP,FAM183DP
IL1RL1,IL1RL1
IL18R1,IL18R1
SDR42E1P5,SDR42E1P5
IL18RAP,IL18RAP
MIR4772,MIR4772
AC007278.2,AC007278.2
AC007278.1,AC007278.1
SLC9A4,SLC9A4
SLC9A2,SLC9A2
MFSD9,MFSD9
TMEM182,TMEM182
LINC01796,LINC01796
LINC01935,LINC01935
AC108051.1,AC108051.1
AC073987.1,AC073987.1
AC010881.1,AC010881.1
AC092568.1,AC092568.1
AC018880.1,AC018880.1
AC018880.2,AC018880.2
AC013727.1,AC013727.1
AC013727.2,AC013727.2
LINC01965,LINC01965
RF02091,RF02091
AC096554.1,AC096554.1
AHCYP3,AHCYP3
AC068535.1,AC068535.1
LINC01831,LINC01831
LINC01102,LINC01102
LINC01103,LINC01103
AC013402.2,AC013402.2
AC013402.3,AC013402.3
AC013402.1,AC013402.1
RPL23AP27,RPL23AP27
AC068057.1,AC068057.1
AC068057.2,AC068057.2
RF00139,RF00139
LINC01114,LINC01114
HMGB3P11,HMGB3P11
PANTR1,PANTR1
AC018730.2,AC018730.2
POU3F3,POU3F3
AC018730.1,AC018730.1
LINC01159,LINC01159
AC010884.1,AC010884.1
MRPS9,MRPS9
UTAT33,UTAT33
LINC01918,LINC01918
GPR45,GPR45
AC012360.2,AC012360.2
TGFBRAP1,TGFBRAP1
AC012360.1,AC012360.1
AC012360.3,AC012360.3
C2orf49,C2orf49
FHL2,FHL2
AC108058.1,AC108058.1
NCK2,NCK2
AC010978.1,AC010978.1
AC009505.1,AC009505.1
C2orf40,C2orf40
UXS1,UXS1
AC018878.1,AC018878.1
AC092106.2,AC092106.2
RPL22P10,RPL22P10
AC092106.1,AC092106.1
AC114755.3,AC114755.3
AC114755.4,AC114755.4
AC114755.1,AC114755.1
AC114755.2,AC114755.2
AC114755.5,AC114755.5
PLGLA,PLGLA
RGPD3,RGPD3
AC097527.1,AC097527.1
CD8B2,CD8B2
AC108868.2,AC108868.2
AC108868.1,AC108868.1
EEF1A1P12,EEF1A1P12
ST6GAL2,ST6GAL2
ST6GAL2-IT1,ST6GAL2-IT1
AC016994.1,AC016994.1
PPP1R2P5,PPP1R2P5
AC005040.1,AC005040.1
LINC01789,LINC01789
AC096669.1,AC096669.1
LINC01885,LINC01885
LINC01886,LINC01886
GACAT1,GACAT1
RGPD4-AS1,RGPD4-AS1
RGPD4,RGPD4
AC009963.2,AC009963.2
AC009963.1,AC009963.1
RPL22P8,RPL22P8
AC009963.3,AC009963.3
SLC5A7,SLC5A7
LINC01593,LINC01593
ACTP1,ACTP1
LINC01594,LINC01594
SETD6P1,SETD6P1
SULT1C3,SULT1C3
WASF1P1,WASF1P1
SULT1C2,SULT1C2
SULT1C2P2,SULT1C2P2
SULT1C2P1,SULT1C2P1
GMCL1P2,GMCL1P2
SULT1C4,SULT1C4
SMIM12P1,SMIM12P1
GCC2,GCC2
GCC2-AS1,GCC2-AS1
LIMS1,LIMS1
LIMS1-AS1,LIMS1-AS1
AC010095.1,AC010095.1
RPL10P5,RPL10P5
RANBP2,RANBP2
CCDC138,CCDC138
AC073415.1,AC073415.1
EDAR,EDAR
RF00017,RF00017
SH3RF3-AS1,SH3RF3-AS1
SH3RF3,SH3RF3
MIR4265,MIR4265
SNRPGP9,SNRPGP9
MIR4266,MIR4266
Sep-10,Sep-10
AC011753.4,AC011753.4
AC011753.2,AC011753.2
SOWAHC,SOWAHC
AC011753.1,AC011753.1
BMS1P19,BMS1P19
AC011753.3,AC011753.3
RPL22P11,RPL22P11
AC074387.1,AC074387.1
RGPD5,RGPD5
LIMS3,LIMS3
LIMS3-LOC440895,LIMS3-LOC440895
AC013268.1,AC013268.1
AC013268.5,AC013268.5
GPAA1P1,GPAA1P1
ZBTB45P1,ZBTB45P1
LINC01123,LINC01123
AC013268.3,AC013268.3
AC013268.2,AC013268.2
AC013268.4,AC013268.4
MIR4267,MIR4267
MALL,MALL
MIR4436B1,MIR4436B1
NPHP1,NPHP1
AC140479.3,AC140479.3
MTLN,MTLN
AC140479.4,AC140479.4
AC140479.5,AC140479.5
AC140479.6,AC140479.6
MIR4436B2,MIR4436B2
AC140479.7,AC140479.7
AC140479.1,AC140479.1
AC140479.2,AC140479.2
LINC01106,LINC01106
ZBTB45P2,ZBTB45P2
GPAA1P2,GPAA1P2
AC112229.4,AC112229.4
AC112229.1,AC112229.1
AC112229.3,AC112229.3
LIMS4,LIMS4
AC112229.2,AC112229.2
AC108938.1,AC108938.1
RGPD6,RGPD6
AC226101.1,AC226101.1
RPL22P12,RPL22P12
BUB1,BUB1
AC114776.1,AC114776.1
ACOXL,ACOXL
RPL5P9,RPL5P9
MIR4435-2HG,MIR4435-2HG
ACOXL-AS1,ACOXL-AS1
BCL2L11,BCL2L11
AC108463.2,AC108463.2
AC108463.1,AC108463.1
AC108463.3,AC108463.3
AC068491.2,AC068491.2
AC068491.3,AC068491.3
RPS14P4,RPS14P4
MIR4435-2,MIR4435-2
AC068491.4,AC068491.4
AC068491.1,AC068491.1
AC017002.6,AC017002.6
AC017002.5,AC017002.5
AC017002.3,AC017002.3
AC017002.1,AC017002.1
AC017002.4,AC017002.4
AC017002.2,AC017002.2
ANAPC1,ANAPC1
AC093166.4,AC093166.4
AC093166.1,AC093166.1
AC093166.2,AC093166.2
MIR4771-2,MIR4771-2
AC093166.3,AC093166.3
EEF1E1P1,EEF1E1P1
MERTK,MERTK
RN7SL297P,RN7SL297P
AC104651.1,AC104651.1
AC104651.2,AC104651.2
TMEM87B,TMEM87B
FBLN7,FBLN7
AC092645.1,AC092645.1
ZC3H8,ZC3H8
ZC3H6,ZC3H6
NDUFB4P6,NDUFB4P6
AC115115.1,AC115115.1
RGPD8,RGPD8
AC012442.3,AC012442.3
TTL,TTL
POLR1B,POLR1B
RF00019,RF00019
CHCHD5,CHCHD5
AC012442.2,AC012442.2
AC012442.1,AC012442.1
AC079922.1,AC079922.1
FLJ42351,FLJ42351
SLC20A1,SLC20A1
NT5DC4,NT5DC4
CKAP2L,CKAP2L
IL1A,IL1A
IL1B,IL1B
AC079753.1,AC079753.1
XIAPP3,XIAPP3
IL37,IL37
CDK8P2,CDK8P2
IL36G,IL36G
HMGN2P23,HMGN2P23
AC016724.1,AC016724.1
IL36A,IL36A
IL36B,IL36B
IL36RN,IL36RN
IL1F10,IL1F10
RNU6-1180P,RNU6-1180P
IL1RN,IL1RN
PSD4,PSD4
AC016683.1,AC016683.1
PAX8-AS1,PAX8-AS1
PAX8,PAX8
IGKV1OR2-108,IGKV1OR2-108
AC016745.1,AC016745.1
AC016745.2,AC016745.2
CBWD2,CBWD2
FOXD4L1,FOXD4L1
LINC01961,LINC01961
PGM5P4-AS1,PGM5P4-AS1
PGM5P4,PGM5P4
FAM138B,FAM138B
MIR1302-3,MIR1302-3
WASH2P,WASH2P
DDX11L2,DDX11L2
AL078621.3,AL078621.3
RPL23AP7,RPL23AP7
RABL2A,RABL2A
AL078621.1,AL078621.1
AL078621.2,AL078621.2
AC017074.2,AC017074.2
AC017074.1,AC017074.1
RNU6-744P,RNU6-744P
SLC35F5,SLC35F5
MIR4782,MIR4782
AC104653.2,AC104653.2
AC104653.1,AC104653.1
AC110769.2,AC110769.2
ACTR3,ACTR3
AC110769.3,AC110769.3
LINC01191,LINC01191
AC110769.1,AC110769.1
RF00012,RF00012
AC010982.1,AC010982.1
SEPHS1P7,SEPHS1P7
RNU2-41P,RNU2-41P
DPP10,DPP10
DPP10-AS3,DPP10-AS3
DPP10-AS2,DPP10-AS2
DPP10-AS1,DPP10-AS1
RPSAP23,RPSAP23
AC104408.1,AC104408.1
AC062016.1,AC062016.1
MTCYBP39,MTCYBP39
AC062016.2,AC062016.2
MTND1P28,MTND1P28
MTND2P21,MTND2P21
MTCO1P43,MTCO1P43
RNU7-190P,RNU7-190P
AC092170.1,AC092170.1
AC009312.1,AC009312.1
DDX18,DDX18
AC009404.1,AC009404.1
HTR5BP,HTR5BP
CCDC93,CCDC93
AC009303.1,AC009303.1
AC009303.2,AC009303.2
AC009303.3,AC009303.3
AC009303.4,AC009303.4
RN7SL111P,RN7SL111P
INSIG2,INSIG2
THORLNC,THORLNC
LINC01956,LINC01956
EN1,EN1
MARCO,MARCO
AC013457.1,AC013457.1
C1QL2,C1QL2
RN7SL468P,RN7SL468P
STEAP3,STEAP3
STEAP3-AS1,STEAP3-AS1
C2orf76,C2orf76
DBI,DBI
TMEM37,TMEM37
SCTR,SCTR
AC013275.1,AC013275.1
CFAP221,CFAP221
TMEM177,TMEM177
AC069154.1,AC069154.1
PTPN4,PTPN4
AC016691.1,AC016691.1
EPB41L5,EPB41L5
AC012363.1,AC012363.1
RF00019,RF00019
MTATP6P26,MTATP6P26
MTCO3P43,MTCO3P43
MTND3P10,MTND3P10
MTND4LP14,MTND4LP14
MTND4P26,MTND4P26
MTND5P28,MTND5P28
TMEM185B,TMEM185B
RALB,RALB
AC012363.2,AC012363.2
INHBB,INHBB
LINC01101,LINC01101
AC073257.2,AC073257.2
AC073257.1,AC073257.1
RF00019,RF00019
AC018866.1,AC018866.1
GLI2,GLI2
AC017033.1,AC017033.1
RF00019,RF00019
AC067960.1,AC067960.1
AC079988.1,AC079988.1
TFCP2L1,TFCP2L1
AC013399.1,AC013399.1
CLASP1,CLASP1
AC012447.1,AC012447.1
RNU4ATAC,RNU4ATAC
RF00019,RF00019
NIFK-AS1,NIFK-AS1
RPL12P15,RPL12P15
AC018737.2,AC018737.2
NPM1P32,NPM1P32
NIFK,NIFK
